x	y	z	Event	Energy	Time
2.8269276505e+00 -1.0141602993e+00 1.5254131200e+05 1 9.9221875388e+02 2.1037347501e-01
2.8318492766e+00 -1.1067323277e+00 1.4370818051e+05 1 4.2018136727e+03 2.0701037760e-01
2.8854339255e+00 -1.1710531917e+00 1.3297110226e+05 1 1.4855680820e+03 2.0292237821e-01
3.5708902766e+00 -1.4259807547e+00 7.4102714963e+04 1 5.8969862027e+03 1.8050903673e-01
3.5900962326e+00 -1.4352677448e+00 7.2689633104e+04 1 3.2535282664e+03 1.7997102498e-01
3.6070613756e+00 -1.4428065998e+00 7.1361427933e+04 1 1.1618599369e+03 1.7946532890e-01
3.6465100907e+00 -1.4630703837e+00 6.5318278132e+04 1 2.3807588802e+03 1.7716448187e-01
3.6598374441e+00 -1.4706728740e+00 6.3525941540e+04 1 1.9616812052e+03 1.7648207413e-01
3.6795523288e+00 -1.4747364646e+00 6.1384032506e+04 1 1.3407182614e+03 1.7566657148e-01
3.6587730961e+00 -1.2948473831e+00 1.4282810714e+04 1 1.6238022053e+03 1.5773342857e-01
3.6257863846e+00 -1.0397723732e+00 -1.3416990957e+04 1 1.6687220250e+03 1.4718711269e-01
3.6151236156e+00 -9.8630875981e-01 -1.8496693477e+04 1 1.4012290015e+03 1.4525308650e-01
3.6069764709e+00 -9.1308777070e-01 -2.4881792609e+04 1 1.0395123734e+03 1.4282204887e-01
3.5437402912e+00 -7.8428023746e-01 -3.9998729105e+04 1 2.6063532919e+03 1.3706648645e-01
2.8389558009e+00 -4.0656561243e-01 -9.9294571238e+04 1 3.2236254137e+03 1.1449043365e-01
2.8300265192e+00 -4.0075806011e-01 -9.9967192657e+04 1 1.3981221481e+03 1.1423434259e-01
2.7732605529e+00 -3.7923490955e-01 -1.0418946912e+05 1 1.8173288124e+03 1.1262677084e-01
2.7483777350e+00 -3.6967164173e-01 -1.0619679757e+05 1 1.6789045438e+03 1.1186250910e-01
